************************Header***************************

************************Result***************************
Directory:     ['\\\\130.60.131.134\\studi\\Filme\\frueher_Film', '\\\\130.60.131.134\\studi\\Filme\\mittlere_Filme', '\\\\130.60.131.134\\studi\\Filme\\spaete_Filme']
Total Folders: 470


*******************File Information**********************
n-Correct      n-Multiple     n-Incorrect    n-Not-Started  n-Total        
166            54             62             188            470            


************************Details***************************
Legend
PR: Pre-Naming Nomeclature
MS: Missing Segmentation
AL: Everything OK


         Status       n-Movies         n-ELAN    n-Filemaker     n-Segment.      n-Folders     n-Indexing    n-Timestamp    n-PreNaming       n-Others               Path 
       OK-MS-PN              1              1              1              0              1              0              0             30              0               \\130.60.131.134\studi\Filme\frueher_Film\779_The_Golden_Beetle_1907
          OK-MS              1              1              1              0              1              0             51              0              0               \\130.60.131.134\studi\Filme\frueher_Film\788_The_Great_Train_Robbery_1903
   ***Incorrect              1              1              0              0              1            393              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\830_El_Negro_Que_Tenia_El_Alma_Blanca_1927
   ***Incorrect              1              1              1              0              1              0           2033              0              1               \\130.60.131.134\studi\Filme\frueher_Film\832_Intolerance_1916
          OK-MS              1              1              1              0              1              0            201              0              0               \\130.60.131.134\studi\Filme\frueher_Film\851_Alice_In_Wonderland_1915
   ***Incorrect              2              2              2              0              2              0           2012              0              1               \\130.60.131.134\studi\Filme\frueher_Film\854_Die_Nibelungen_1924
          OK-MS              1              1              1              0              1            160              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\855_Ildfluen_1913
      *Multiple              4              4              4              0              4           1255              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\860_Napoleon_1927
          OK-MS              1              1              1              0              1              0             42              0              0               \\130.60.131.134\studi\Filme\frueher_Film\863_Le_Faune_1908
          OK-MS              1              1              1              0              1            344              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\878_The_Open_Road_1925
   *Not Started             24              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\Kinemacolor1
   *Not Started             29              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\Kinemacolor2
          OK-AL              1              1              1              1              1              0            518              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1038_Yolanda_and_the_Thief_1945
      *Multiple              1              1              3              0              1              0              0            671              0               \\130.60.131.134\studi\Filme\mittlere_Filme\105_Blanche_Fury_1948
      *Multiple              1              1              4              0              1              0              0            493              0               \\130.60.131.134\studi\Filme\mittlere_Filme\107_Leave_Her_to_Heaven_1945
          OK-MS              1              1              1              0              1              0            836              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1110_Night_and_Day_1946
          OK-AL              1              1              1              1              1              0            457              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1169_Immer_bereit_1950
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1170_Blaue_Wimpel_im_Sommerwind_1952
          OK-AL              1              1              1              1              1              0             86              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1213_Teeth_of_Steel_1942
   *Not Started              1              0              1              1              2            849              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\122_The_Thief_of_Bagdad_1940
          OK-AL              1              1              1              1              1              0             61              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\1230_The_Coronation_of_Their_Majesties_King_George_VI_and_Queen_Elizabeth_1937
